"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2022","25.3691","24.4600","25.5650","24.2700","","3.89%"
"02/28/2022","24.4202","24.7315","24.7432","24.0865","","0.94%"
"02/25/2022","24.1918","24.2000","24.5150","23.8700","","-0.04%"
"02/24/2022","24.2011","24.5500","25.6350","23.8450","","-1.30%"
"02/23/2022","24.5197","24.1050","24.6050","24.0250","","1.80%"
"02/22/2022","24.0855","23.9650","24.3700","23.9000","","0.62%"
"02/21/2022","23.9380","24.0150","24.0861","23.6950","","-0.09%"
"02/18/2022","23.9596","23.8400","24.1000","23.6750","","0.63%"
"02/17/2022","23.8100","23.5750","23.9450","23.4150","","1.14%"
"02/16/2022","23.5422","23.3700","23.7050","23.2750","","0.87%"
"02/15/2022","23.3400","23.8600","24.0250","23.0800","","-2.06%"
"02/14/2022","23.8300","23.6100","23.9550","23.5150","","1.12%"
"02/11/2022","23.5659","23.2028","23.7350","22.8550","","1.67%"
"02/10/2022","23.1777","23.3100","23.7350","23.1362","","-0.52%"
"02/09/2022","23.3000","23.2000","23.3850","23.0900","","0.54%"
"02/08/2022","23.1759","23.0150","23.2850","22.7650","","0.80%"
"02/07/2022","22.9917","22.4800","23.1150","22.4800","","2.28%"
"02/04/2022","22.4799","22.4100","22.6750","22.0600","","0.38%"
"02/03/2022","22.3937","22.6450","22.7050","21.9950","","-1.02%"
"02/02/2022","22.6242","22.6550","22.8950","22.4650","","-0.04%"
"02/01/2022","22.6335","22.4589","23.0650","22.3990","","0.89%"
"01/31/2022","22.4337","22.4550","22.6750","22.2450","","0.08%"
"01/28/2022","22.4164","22.7765","22.8550","22.1400","","-1.42%"
"01/27/2022","22.7400","23.4950","23.6081","22.5650","","-3.16%"
"01/26/2022","23.4818","23.8200","23.9950","23.4350","","-1.40%"
"01/25/2022","23.8152","23.9900","24.0450","23.5950","","-0.58%"
"01/24/2022","23.9544","24.2800","24.3191","23.5600","","-1.14%"
"01/21/2022","24.2304","24.4500","24.5950","24.1700","","-0.82%"
"01/20/2022","24.4300","24.1489","24.7550","24.0727","","1.27%"
"01/19/2022","24.1235","23.4700","24.2450","23.3850","","2.87%"
"01/18/2022","23.4502","23.0250","23.6550","22.8000","","1.96%"
"01/17/2022","23.0000","22.9600","23.1350","22.8277","","0.22%"
"01/14/2022","22.9502","23.0900","23.3450","22.8234","","-0.53%"
"01/13/2022","23.0715","23.1300","23.3050","22.9949","","-0.18%"
"01/12/2022","23.1121","22.7850","23.2550","22.6398","","1.53%"
"01/11/2022","22.7628","22.4750","22.8450","22.4450","","1.39%"
"01/10/2022","22.4513","22.3585","22.5650","22.1900","","0.68%"
"01/07/2022","22.3000","22.1800","22.4450","21.9495","","0.67%"
"01/06/2022","22.1519","22.7979","22.8550","21.9950","","-2.73%"
"01/05/2022","22.7731","23.0550","23.2750","22.7250","","-1.11%"
"01/04/2022","23.0296","22.8950","23.1350","22.6300","","0.74%"
"01/03/2022","22.8598","23.3250","23.4154","22.6750","","-1.75%"
"12/31/2021","23.2679","23.0550","23.3550","23.0250","","1.03%"
"12/30/2021","23.0317","22.8238","23.1550","22.5950","","0.98%"
"12/29/2021","22.8071","23.0100","23.1850","22.5850","","-0.81%"
